key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-sponsor-01,true,"UserIdentity{name: 'Nuria', surname: 'Martin', email: 'nuria@acme.com'}",sponsor1,sponsor1
user-account-sponsor-03,true,"UserIdentity{name: 'Julia', surname: 'Sponsor Empty', email: 'julia@acme.com'}",sponsor3,sponsor3
user-account-sponsor-02,true,"UserIdentity{name: 'Miguel', surname: 'Sponsor NonLat', email: 'miguel@acme.com'}",sponsor2,sponsor2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-auditor-01,true,"UserIdentity{name: 'Auditor1', surname: '1', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor2', surname: '2', email: 'auditor2@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Auditor3', surname: '3', email: 'auditor3@acme.com'}",auditor3,auditor3
user-account-auditor-04,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor4,auditor4
user-account-auditor-05,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor5,auditor5
user-account-auditor-06,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor6,auditor6
user-account-auditor-07,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor7,auditor7
user-account-auditor-08,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor8,auditor8
user-account-auditor-09,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor9,auditor9
user-account-auditor-10,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor10,auditor10
